Date,CSI300,CSI300_SP_FV_SPMO
2007-02-28,2630.046512,2512.359507
2007-03-01,2556.630491,2439.511600
2007-03-02,2593.002584,2485.169860
2007-03-05,2558.770026,2436.474300
2007-03-06,2604.950904,2496.094190
2007-03-07,2676.423773,2604.824801
2007-03-08,2715.896641,2669.700792
2007-03-09,2699.111111,2631.333257
2007-03-12,2704.051680,2630.257106
2007-03-13,2728.857881,2645.072279
2007-03-14,2684.609819,2594.700458
2007-03-15,2734.418605,2650.446086
2007-03-16,2691.710594,2626.684153
2007-03-19,2748.744186,2691.956023
2007-03-20,2762.552972,2670.653078
2007-03-21,2793.385013,2695.031711
2007-03-22,2802.397933,2696.832563
2007-03-23,2807.514212,2689.158418
2007-03-26,2856.878553,2723.476764
2007-03-27,2877.540052,2718.637257
2007-03-28,2891.627907,2747.390695
2007-03-29,2876.806202,2781.611191
2007-03-30,2875.224806,2775.626192
2007-04-02,2945.850129,2856.622126
2007-04-03,2985.136951,2901.608934
2007-04-04,3009.633075,2942.756921
2007-04-05,3043.979328,2970.834327
2007-04-06,3071.844961,2985.229022
2007-04-09,3140.227390,3049.516528
2007-04-10,3185.085271,3104.385591
2007-04-11,3226.170543,3145.585828
2007-04-12,3283.142119,3193.930062
2007-04-13,3275.689922,3206.236573
2007-04-16,3365.374677,3294.670127
2007-04-17,3393.901809,3275.764293
2007-04-18,3415.503876,3279.148174
2007-04-19,3256.124031,3134.156377
2007-04-20,3399.772610,3256.742085
2007-04-23,3546.583979,3353.573484
2007-04-24,3560.930233,3337.469531
2007-04-25,3564.113695,3346.354448
2007-04-26,3610.935401,3405.558490
2007-04-27,3587.100775,3367.762500
2007-04-30,3678.253230,3460.347982
2007-05-08,3809.850129,3574.384828
2007-05-09,3825.612403,3592.303236
2007-05-10,3849.622739,3584.156793
2007-05-11,3826.987080,3602.536219
2007-05-14,3859.865633,3701.814579
2007-05-15,3725.726098,3570.584656
2007-05-16,3824.589147,3660.158271
2007-05-17,3905.540052,3759.711779
2007-05-18,3903.493540,3735.353939
2007-05-21,3960.144703,3747.107841
2007-05-22,4000.506460,3759.722426
2007-05-23,4071.266150,3820.677322
2007-05-24,4051.421189,3845.945432
2007-05-25,4119.121447,3948.814980
