Date,MA20,MA50,MA100,MA200
2007-08-17,4883.1832,4381.4100,3902.8884,2993.0753
2007-08-20,4928.4997,4407.5153,3929.0842,3012.5199
2007-08-21,4978.4733,4434.3963,3956.4546,3032.5424
2007-08-22,5029.2723,4461.4720,3984.3434,3053.1115
2007-08-23,5082.3294,4491.7684,4013.0754,3074.2866
2007-08-24,5140.2771,4523.1889,4042.5517,3095.7688
2007-08-27,5192.1364,4551.8273,4071.0887,3117.0902
2007-08-28,5239.2563,4579.3759,4098.6502,3138.1620
2007-08-29,5288.6800,4606.6518,4124.8062,3158.7071
2007-08-30,5333.0028,4633.9127,4151.3686,3179.6023
2007-08-31,5365.4664,4664.2679,4178.1244,3200.6770
2007-09-03,5397.7197,4699.0324,4205.1480,3222.2108
2007-09-04,5425.0133,4731.8236,4230.8542,3243.3194
2007-09-05,5451.7685,4761.5906,4255.7593,3264.3323
2007-09-06,5471.7739,4795.6040,4280.5651,3285.6510
2007-09-07,5490.4220,4828.1716,4303.6733,3306.0800
2007-09-10,5515.1244,4862.7621,4326.5837,3326.6775
2007-09-11,5521.4107,4890.4021,4346.9611,3345.8641
2007-09-12,5529.1087,4920.4605,4367.8516,3365.2944
2007-09-13,5549.0996,4957.0547,4391.8061,3385.4775
2007-09-14,5577.5156,4990.8115,4414.9522,3405.7473
2007-09-17,5591.7316,5023.1984,4437.6903,3426.1742
2007-09-18,5596.9728,5054.1295,4459.9206,3446.2571
2007-09-19,5594.1976,5083.5998,4481.2648,3465.8325
2007-09-20,5588.6689,5113.7387,4502.6515,3485.5723
2007-09-21,5578.5706,5143.5117,4524.1868,3505.2159
2007-09-24,5574.1996,5178.1917,4545.8123,3525.1092
2007-09-25,5571.0799,5209.6017,4566.0221,3544.6466
2007-09-26,5569.7135,5239.5235,4585.4094,3563.6752
2007-09-27,5567.4219,5270.3726,4605.3802,3582.7982
2007-09-28,5571.7821,5300.5340,4626.8350,3602.6950
2007-10-08,5581.1980,5330.6033,4649.2188,3623.6721
2007-10-09,5594.0714,5360.1288,4672.8377,3644.7726
2007-10-10,5608.3943,5388.1738,4695.4616,3666.0793
2007-10-11,5625.4202,5416.6012,4718.0148,3687.4942
2007-10-12,5648.0590,5444.7117,4740.3596,3708.6537
2007-10-15,5667.1845,5470.6135,4762.5707,3729.7575
2007-10-16,5706.9082,5498.4658,4786.0533,3751.2440
2007-10-17,5739.6458,5527.5271,4808.0760,3772.0320
2007-10-18,5754.7729,5549.3578,4827.9381,3791.4814
2007-10-19,5769.8771,5566.5957,4847.1842,3811.2067
2007-10-22,5778.6526,5580.5173,4864.8907,3830.4496
2007-10-23,5793.6953,5595.1617,4882.3133,3850.1691
2007-10-24,5817.1378,5612.1343,4903.4966,3870.4577
2007-10-25,5829.4127,5622.4409,4922.3839,3889.7729
2007-10-26,5850.4383,5638.3951,4943.2430,3909.8869
2007-10-29,5870.2536,5656.9459,4967.5201,3930.1489
2007-10-30,5894.6271,5674.8470,4990.8544,3950.6671
2007-10-31,5929.7958,5695.2504,5015.4166,3971.6950
