Date,Open,High,Low,Close
2006-10-26,1495.7003,1506.3256,1483.4935,1505.0129
2006-10-27,1504.8889,1509.5194,1481.5090,1487.3902
2006-10-30,1484.9199,1494.8217,1476.3101,1494.8217
2006-10-31,1495.6693,1513.6744,1495.6693,1513.6641
2006-11-01,1514.9044,1529.1059,1510.4083,1529.1059
2006-11-02,1530.2842,1530.2842,1513.7984,1529.3643
2006-11-03,1531.3488,1547.7726,1530.5116,1538.2842
2006-11-06,1527.0698,1558.6253,1521.4470,1558.5426
2006-11-07,1563.4625,1567.7519,1541.4264,1567.0284
2006-11-08,1563.1628,1563.8656,1547.2972,1548.4961
2006-11-09,1541.9121,1578.6873,1539.2248,1575.9276
2006-11-10,1576.4651,1586.7700,1543.3592,1554.5840
2006-11-13,1548.3824,1563.7726,1514.8630,1525.3540
2006-11-14,1525.0129,1544.0620,1502.0775,1543.9587
2006-11-15,1544.2997,1586.4083,1540.9509,1586.3152
2006-11-16,1592.0000,1610.7597,1582.7287,1584.7959
2006-11-17,1579.3385,1614.7183,1572.6615,1614.5530
2006-11-20,1619.9897,1646.7080,1619.9897,1646.6770
2006-11-21,1644.9302,1666.6253,1621.6537,1666.4083
2006-11-22,1664.1344,1694.4806,1654.1395,1678.5840
2006-11-23,1678.2532,1697.9948,1672.3928,1689.8295
2006-11-24,1684.6408,1695.8656,1665.6848,1691.5556
2006-11-27,1687.5039,1707.2868,1682.6047,1707.2868
2006-11-28,1705.0956,1711.8243,1684.5788,1699.2351
2006-11-29,1672.0310,1729.1059,1658.7287,1723.1421
2006-11-30,1727.8243,1772.0827,1727.8243,1771.9483
2006-12-01,1777.0336,1800.3101,1773.4264,1787.3075
2006-12-04,1790.0775,1840.6202,1790.0775,1840.5581
2006-12-05,1845.4160,1872.5168,1837.1370,1854.5013
2006-12-06,1854.5323,1867.3385,1775.4212,1839.1835
2006-12-07,1833.7881,1881.8811,1830.0465,1835.3592
2006-12-08,1811.6486,1831.6899,1767.4419,1769.0749
2006-12-11,1763.2145,1850.2532,1763.2145,1850.0465
2006-12-12,1858.8734,1880.9302,1831.6382,1863.3488
2006-12-13,1866.0672,1874.1912,1839.3385,1864.4548
2006-12-14,1867.7829,1897.8708,1865.8398,1897.8191
2006-12-15,1904.7855,1930.5220,1894.0672,1930.3773
2006-12-18,1937.9948,1982.7287,1937.9948,1980.4755
2006-12-19,1989.4574,2001.8088,1945.7778,1985.9845
2006-12-20,1977.1576,2001.8605,1957.0233,2001.6021
2006-12-21,2000.8062,2010.8217,1969.7364,1973.1163
2006-12-22,1960.1860,1982.9354,1943.7416,1959.3178
2006-12-25,1962.6047,2023.2248,1962.6047,2004.2377
2006-12-26,2007.0284,2025.8191,1979.3075,2003.3488
2006-12-27,2005.5917,2049.7261,2004.7028,2049.4884
2006-12-28,2054.8010,2077.9018,2030.9767,2046.4393
2006-12-29,2058.7907,2121.8191,2058.7907,2109.6124
2007-01-04,2142.8941,2211.3592,2123.2455,2136.5271
2007-01-05,2120.0517,2153.3850,2098.9767,2142.5116
2007-01-08,2141.6124,2203.3488,2141.3127,2203.1628
2007-01-09,2209.2920,2275.3075,2199.5452,2273.9948
2007-01-10,2285.0233,2331.7519,2268.4961,2331.7519
2007-01-11,2332.8269,2366.8734,2299.0904,2306.5943
2007-01-12,2290.2946,2325.1059,2232.3307,2246.7700
2007-01-15,2243.8656,2364.5271,2243.8656,2364.1757
2007-01-16,2388.5891,2433.5194,2374.4083,2432.9406
2007-01-17,2439.7003,2473.6124,2342.4703,2386.4910
2007-01-18,2369.1680,2403.6486,2315.4625,2394.9354
2007-01-19,2398.8320,2476.5788,2398.8320,2476.5788
2007-01-22,2506.2739,2575.4109,2506.2739,2574.9974
2007-01-23,2592.5271,2601.1266,2496.2377,2592.3824
2007-01-24,2592.7855,2641.9638,2573.5711,2621.6331
2007-01-25,2596.8579,2614.3979,2531.3178,2535.2248
2007-01-26,2496.8992,2609.0336,2436.1550,2597.3333
2007-01-29,2614.9251,2669.1576,2606.2016,2663.4832
2007-01-30,2673.4057,2686.7700,2616.8269,2637.6021
2007-01-31,2629.7674,2633.7778,2447.2041,2465.4677
2007-02-01,2429.5607,2491.3902,2388.1860,2475.6279
2007-02-02,2477.5814,2484.3618,2370.3152,2375.1938
2007-02-05,2359.4522,2381.7261,2323.4419,2348.1137
2007-02-06,2347.6693,2394.5220,2272.7649,2393.8398
2007-02-07,2408.7132,2471.1835,2408.7132,2449.3953
2007-02-08,2456.4651,2497.1163,2433.7984,2491.5762
2007-02-09,2493.6848,2498.8527,2455.8346,2477.7778
2007-02-12,2478.3979,2569.2610,2477.3023,2568.8786
2007-02-13,2582.2739,2611.0904,2573.2920,2607.3695
2007-02-14,2612.4651,2681.8191,2605.1990,2675.2972
2007-02-15,2695.2248,2758.8424,2695.2248,2758.2739
2007-02-16,2783.1214,2808.8579,2749.8605,2766.6563
2007-02-26,2769.2713,2801.3437,2729.8398,2798.6357
2007-02-27,2809.1059,2810.8734,2537.3850,2540.0413
2007-02-28,2494.4910,2640.0310,2494.3979,2630.0465
2007-03-01,2635.9276,2636.0000,2521.4470,2556.6305
2007-03-02,2551.5969,2608.6408,2538.3152,2593.0026
2007-03-05,2587.9276,2627.2041,2490.6667,2558.7700
2007-03-06,2550.6357,2624.7545,2534.5116,2604.9509
2007-03-07,2618.0672,2681.6124,2617.2093,2676.4238
2007-03-08,2684.9819,2716.7442,2651.2765,2715.8966
2007-03-09,2721.2403,2732.6202,2674.4083,2699.1111
2007-03-12,2700.7339,2707.4935,2649.4780,2704.0517
2007-03-13,2708.7545,2730.3669,2692.7442,2728.8579
2007-03-14,2697.6021,2713.3023,2632.1964,2684.6098
2007-03-15,2682.7287,2734.7597,2682.7287,2734.4186
2007-03-16,2745.2300,2754.9251,2662.8630,2691.7106
2007-03-19,2618.8217,2764.6512,2608.0620,2748.7442
2007-03-20,2759.3178,2764.3101,2734.1085,2762.5530
2007-03-21,2776.1550,2793.7984,2756.4755,2793.3850
2007-03-22,2811.8450,2832.3307,2793.1886,2802.3979
2007-03-23,2801.4057,2818.2119,2742.9354,2807.5142
2007-03-26,2816.9509,2857.2610,2805.0956,2856.8786
2007-03-27,2863.4109,2883.6899,2845.4987,2877.5401
2007-03-28,2880.8682,2900.3411,2779.4419,2891.6279
2007-03-29,2896.5168,2925.1473,2876.4134,2876.8062
2007-03-30,2861.7158,2896.0724,2845.6331,2875.2248
2007-04-02,2887.8140,2945.8915,2887.8140,2945.8501
2007-04-03,2958.0362,2985.3540,2948.3928,2985.1370
2007-04-04,2990.5736,3022.9251,2972.2894,3009.6331
2007-04-05,3007.2351,3049.7778,2992.6822,3043.9793
2007-04-06,3019.8760,3077.4780,3008.8372,3071.8450
2007-04-09,3088.7649,3145.2817,3088.7649,3140.2274
2007-04-10,3155.9276,3185.1370,3093.6537,3185.0853
2007-04-11,3195.9587,3226.3979,3162.0465,3226.1705
2007-04-12,3234.3669,3283.4005,3219.5452,3283.1421
2007-04-13,3289.6951,3319.4935,3260.0620,3275.6899
2007-04-16,3284.0310,3365.9638,3284.0207,3365.3747
2007-04-17,3383.3902,3398.6253,3289.8708,3393.9018
2007-04-18,3404.8682,3423.2351,3353.9328,3415.5039
2007-04-19,3408.7339,3408.7339,3168.2481,3256.1240
2007-04-20,3272.0103,3408.1757,3272.0103,3399.7726
2007-04-23,3442.6873,3548.8579,3442.6873,3546.5840
2007-04-24,3578.7907,3608.0724,3533.1266,3560.9302
2007-04-25,3547.3075,3584.3204,3489.4884,3564.1137
2007-04-26,3581.5090,3611.2765,3554.3979,3610.9354
2007-04-27,3617.5090,3621.5917,3551.4212,3587.1008
2007-04-30,3604.5065,3688.5581,3595.7933,3678.2532
2007-05-08,3766.2119,3823.6382,3740.3411,3809.8501
2007-05-09,3823.5659,3842.2119,3676.0930,3825.6124
2007-05-10,3827.9380,3867.9380,3795.1525,3849.6227
2007-05-11,3820.4548,3840.1757,3751.6382,3826.9871
2007-05-14,3770.8217,3895.7726,3742.4910,3859.8656
2007-05-15,3864.6512,3877.6641,3721.1473,3725.7261
2007-05-16,3718.8630,3824.9612,3676.6925,3824.5891
2007-05-17,3841.2817,3921.6124,3829.7468,3905.5401
2007-05-18,3897.9535,3933.0336,3872.0827,3903.4935
2007-05-21,3773.4367,3972.9612,3765.4574,3960.1447
2007-05-22,3978.3359,4023.9690,3978.3359,4000.5065
2007-05-23,4010.0879,4071.8243,3983.3695,4071.2661
2007-05-24,4086.7080,4106.0258,3988.1240,4051.4212
2007-05-25,4038.9974,4131.1111,4018.9251,4119.1214
2007-05-28,4169.4264,4229.3953,4162.6460,4209.3850
2007-05-29,4228.3204,4308.5581,4216.9199,4308.3101
2007-05-30,4037.2506,4242.0672,3979.0181,4017.0129
2007-05-31,3957.3333,4125.8191,3807.2972,4059.8966
2007-06-01,4085.8915,4148.9922,3907.0078,3931.7313
2007-06-04,3932.7752,3950.8114,3621.6434,3629.3850
2007-06-05,3521.4470,3757.2610,3355.7933,3756.7235
2007-06-06,3775.5969,3837.2403,3670.0155,3801.1163
2007-06-07,3818.6563,3930.0258,3808.2274,3930.0258
2007-06-08,3942.3152,3990.9147,3895.7623,3966.7907
2007-06-11,4006.2739,4070.0672,4000.2377,4063.9380
2007-06-12,4086.7804,4171.9483,3962.8114,4171.6899
2007-06-13,4208.5168,4285.8088,4200.6718,4256.6098
2007-06-14,4241.3643,4270.8010,4157.9121,4212.7339
2007-06-15,4178.9251,4253.9845,4160.3101,4237.0853
2007-06-18,4319.1318,4389.0439,4317.5090,4369.5814
2007-06-19,4369.6021,4397.6434,4326.8010,4395.8656
2007-06-20,4412.0517,4436.3824,4277.3437,4297.2610
