Date,Open,High,Low,Close,Volume
2023-01-12,4938.9212,5000.6048,4889.4635,4936.5863,
2023-01-13,4941.8813,5018.9005,4910.7628,4982.8968,
2023-01-16,4987.7156,5067.1440,4937.6445,5010.1371,
2023-01-17,5016.2337,5056.2213,4953.2544,5001.9696,
2023-01-18,5004.1629,5058.9894,4960.7250,4990.2158,
2023-01-19,4990.9276,5026.1231,4931.1312,4990.0578,
2023-01-20,5001.0213,5077.2964,4968.1045,5036.0625,
2023-01-30,5107.1202,5139.6494,4997.3040,5039.6128,
2023-01-31,5036.4320,5087.6049,4970.1967,5016.3930,
2023-02-01,5026.0745,5073.1793,4963.1280,5045.4643,
2023-02-02,5048.1521,5088.6610,4988.5480,5039.5632,
2023-02-03,5016.7701,5034.8660,4933.2438,4983.2223,
2023-02-06,4945.3598,4985.4132,4890.2184,4942.8258,
2023-02-07,4955.5622,5012.1192,4922.4828,4970.7486,
2023-02-08,4976.0871,5007.5368,4924.5746,4949.7393,
2023-02-09,4941.6899,5022.9713,4921.7725,4996.2718,
2023-02-10,4989.9124,5021.9555,4931.1748,4970.4129,
2023-02-13,4968.4175,5036.4257,4918.5726,4991.0636,
2023-02-14,4998.3878,5028.4086,4945.9397,4989.2629,
2023-02-15,4987.9297,5015.0067,4926.3626,4946.3889,
2023-02-16,4948.0738,5010.3800,4873.3108,4912.3626,
2023-02-17,4903.9415,4961.7205,4857.2968,4876.9630,
2023-02-20,4881.6731,4992.7545,4849.9499,4978.5142,
2023-02-21,4981.3591,5050.3715,4938.2095,5007.4095,
2023-02-22,4986.4796,5032.1393,4950.1248,4975.6035,
2023-02-23,4990.0535,5037.7857,4945.5608,4982.0382,
2023-02-24,4974.0636,4998.1698,4908.5315,4938.6012,
2023-02-27,4924.4755,5004.6498,4901.1113,4950.2113,
2023-02-28,4955.8208,4990.7442,4898.2200,4965.3113,
2023-03-01,4965.4889,5035.3955,4929.7412,5006.3686,
2023-03-02,5002.2949,5066.6297,4955.0195,5003.7271,
2023-03-03,5014.7174,5085.8500,4970.9343,5042.7998,
2023-03-06,5049.6593,5103.4676,4972.6678,5029.3342,
2023-03-07,5031.2527,5133.1645,4977.1927,5013.9612,
2023-03-08,4985.7944,5025.3447,4929.2694,4976.7993,
2023-03-09,4977.0824,5032.9308,4925.9177,4959.4606,
2023-03-10,4929.2520,4967.9902,4860.9647,4878.8808,
2023-03-13,4888.0699,4999.6576,4854.2888,4957.1832,
2023-03-14,4944.3893,5003.7266,4860.8669,4921.2058,
2023-03-15,4943.6893,5016.5800,4879.2189,4943.6013,
2023-03-16,4901.1210,4964.9028,4839.0312,4871.7474,
2023-03-17,4904.7319,5000.9227,4844.9012,4920.3053,
2023-03-20,4919.9780,5015.5572,4820.3155,4873.4285,
2023-03-21,4880.4407,4968.1254,4811.6339,4894.0081,
2023-03-22,4902.6707,4982.7522,4854.5425,4908.8107,
2023-03-23,4903.4008,4994.7480,4854.9927,4958.2351,
2023-03-24,4951.9867,4998.3596,4853.3690,4910.7303,
2023-03-27,4891.2709,4960.5749,4784.7056,4888.4867,
2023-03-28,4902.1708,4985.9731,4858.3884,4923.4080,
2023-03-29,4939.2711,5001.8953,4863.3154,4926.6495,
2023-03-30,4924.5071,5021.6452,4851.6223,4967.1511,
2023-03-31,4965.9758,5049.7745,4918.4769,4980.7808,
2023-04-03,4988.0637,5067.5529,4920.7380,4983.5344,
2023-04-04,4984.4021,5078.6597,4919.1442,5030.2222,
2023-04-06,5009.2816,5068.4183,4934.7096,5002.3562,
2023-04-07,4994.1770,5058.2270,4940.7299,4992.9209,
2023-04-10,4995.9474,5069.9879,4907.5688,4997.9586,
2023-04-11,5000.9838,5050.3983,4922.2985,4983.8143,
2023-04-12,4984.8863,5084.5549,4924.3977,5008.9207,
2023-04-13,4993.9503,5067.0984,4932.9642,4994.6239,
2023-04-14,5006.2553,5075.5660,4951.3134,5010.9378,
2023-04-17,5008.8601,5153.2053,4966.3286,5108.3819,
2023-04-18,5097.4966,5224.1023,5052.9153,5162.4342,
2023-04-19,5148.0093,5210.7133,5077.3394,5120.8159,
2023-04-20,5115.8914,5174.2440,5019.6016,5099.6324,
2023-04-21,5091.5016,5153.0339,5000.3006,5018.8289,
2023-04-24,5029.5682,5113.1188,4946.4696,5000.7990,
2023-04-25,5007.6743,5107.3074,4937.2484,5034.8515,
